,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol
0,AAPL,20211005,141.11,139.49,142.24,139.36,139.14,1.42,80575188
1,AAPL,20211004,139.14,141.76,142.21,138.27,142.65,-2.46,97904313
2,AAPL,20211001,142.65,141.9,142.92,139.11,141.5,0.81,93898625
3,AAPL,20210930,141.5,143.66,144.38,141.28,142.83,-0.93,88768188
4,AAPL,20210929,142.83,142.47,144.45,142.03,141.91,0.65,74299750
5,AAPL,20210928,141.91,143.25,144.75,141.69,145.37,-2.38,108445000
6,AAPL,20210927,145.37,145.47,145.96,143.82,146.92,-1.05,74150750
7,AAPL,20210924,146.92,145.66,147.47,145.56,146.83,0.06,53194372
8,AAPL,20210923,146.83,146.65,147.08,145.64,145.85,0.67,64512743
9,AAPL,20210922,145.85,144.45,146.43,143.7,143.43,1.69,75342875
10,AAPL,20210921,143.43,143.93,144.6,142.78,142.94,0.34,75168313
11,AAPL,20210920,142.94,143.8,144.84,141.27,146.06,-2.14,123039880
12,AAPL,20210917,146.06,148.82,148.82,145.76,148.79,-1.83,125254250
13,AAPL,20210916,148.79,148.44,148.97,147.22,149.03,-0.16,67882375
14,AAPL,20210915,149.03,148.56,149.44,146.37,148.12,0.61,81630875
15,AAPL,20210914,148.12,150.35,151.07,146.91,149.55,-0.96,108412320
16,AAPL,20210910,148.97,155.0,155.48,148.7,154.07,-3.31,140202190
17,AAPL,20210909,154.07,155.49,156.11,153.95,155.11,-0.67,56205700
18,AAPL,20210908,155.11,156.98,157.04,153.98,156.69,-1.01,74099875
19,AAPL,20210907,156.69,154.97,157.26,154.39,154.3,1.55,81667813
20,AAPL,20210903,154.3,153.76,154.63,153.09,153.65,0.42,57693575
21,AAPL,20210902,153.65,153.87,154.72,152.4,152.51,0.75,70905813
22,AAPL,20210901,152.51,152.83,154.98,152.34,151.83,0.45,79911875
23,AAPL,20210831,151.83,152.66,152.8,151.29,153.12,-0.84,86189250
24,AAPL,20210830,153.12,149.0,153.49,148.61,148.6,3.04,90240125
25,AAPL,20210827,148.6,147.48,148.75,146.83,147.54,0.72,55124563
26,AAPL,20210826,147.54,148.35,149.12,147.51,148.36,-0.55,48242860
27,AAPL,20210825,148.36,149.81,150.32,147.8,149.62,-0.84,58871516
28,AAPL,20210824,149.62,149.45,150.86,149.15,149.71,-0.06,48483958
29,AAPL,20210823,149.71,148.31,150.19,147.89,148.19,1.03,59081497
30,AAPL,20210820,148.19,147.44,148.5,146.78,146.7,1.02,59545934
31,AAPL,20210819,146.7,145.03,148.0,144.5,146.36,0.23,85917250
32,AAPL,20210818,146.36,149.8,150.72,146.15,150.19,-2.55,84522250
33,AAPL,20210817,150.19,150.23,151.68,149.09,151.12,-0.62,91713875
34,AAPL,20210816,151.12,148.54,151.19,146.47,149.1,1.35,101067130
35,AAPL,20210813,149.1,148.97,149.44,148.27,148.89,0.14,58846411
36,AAPL,20210812,148.89,146.19,149.05,145.84,145.86,2.08,72265000
37,AAPL,20210811,145.86,146.05,146.72,145.53,145.6,0.18,48357665
38,AAPL,20210810,145.6,146.44,147.71,145.3,146.09,-0.34,68825438
39,AAPL,20210809,146.09,146.2,146.7,145.52,146.14,-0.03,48815688
40,AAPL,20210806,146.14,146.35,147.11,145.63,147.06,-0.63,52661317
41,AAPL,20210805,147.06,146.98,147.84,146.17,146.95,0.07,46236450
42,AAPL,20210804,146.95,147.27,147.79,146.28,147.36,-0.28,55217762
43,AAPL,20210803,147.36,145.81,148.04,145.18,145.52,1.26,64497704
44,AAPL,20210802,145.52,146.36,146.95,145.25,145.86,-0.23,60293055
45,AAPL,20210730,145.86,144.38,146.33,144.11,145.64,0.15,68065938
46,AAPL,20210729,145.64,144.69,146.55,144.58,144.98,0.46,54326711
47,AAPL,20210728,144.98,144.81,146.97,142.54,146.77,-1.22,114104190
48,AAPL,20210727,146.77,149.12,149.21,145.55,148.99,-1.49,95191063
49,AAPL,20210726,148.99,148.27,149.83,147.7,148.56,0.29,71514688
