,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol
0,TSLA,20211005,780.59,784.8,797.31,774.2,781.53,-0.12,18329766
1,TSLA,20211004,781.53,796.5,806.97,776.12,775.22,0.81,30335465
2,TSLA,20211001,775.22,778.4,780.78,763.59,775.48,-0.03,16615786
3,TSLA,20210930,775.48,781.0,789.13,775.0,781.31,-0.75,17795364
4,TSLA,20210929,781.31,779.8,793.5,770.68,777.56,0.48,20646426
5,TSLA,20210928,777.56,787.2,795.64,766.18,791.36,-1.74,24855473
6,TSLA,20210927,791.36,773.12,799.0,769.31,774.39,2.19,28070657
7,TSLA,20210924,774.39,745.89,774.8,744.56,753.64,2.75,21246020
8,TSLA,20210923,753.64,755.0,758.2,747.92,751.94,0.23,11904633
9,TSLA,20210922,751.94,743.53,753.67,739.12,739.38,1.7,14526461
10,TSLA,20210921,739.38,734.79,744.74,730.44,730.17,1.26,16233067
11,TSLA,20210920,730.17,734.56,742.0,718.63,759.49,-3.86,24402864
12,TSLA,20210917,759.49,757.15,761.04,750.0,756.99,0.33,28117438
13,TSLA,20210916,756.99,752.83,758.91,747.61,755.83,0.15,13598555
14,TSLA,20210915,755.83,745.0,756.86,738.36,744.49,1.52,15272340
15,TSLA,20210914,744.49,742.57,754.47,736.4,743.0,0.2,18368950
16,TSLA,20210910,736.27,759.6,762.61,734.52,754.86,-2.46,14965422
17,TSLA,20210909,754.86,753.41,762.1,751.63,753.87,0.13,13854266
18,TSLA,20210908,753.87,761.58,764.45,740.77,752.92,0.13,18721129
19,TSLA,20210907,752.92,740.0,760.2,739.26,733.57,2.64,19771985
20,TSLA,20210903,733.57,732.25,734.0,724.2,732.39,0.16,14863559
21,TSLA,20210902,732.39,734.5,740.97,730.54,734.09,-0.23,12741387
22,TSLA,20210901,734.09,734.08,741.99,731.27,735.72,-0.22,12680543
23,TSLA,20210831,735.72,733.0,740.39,726.44,730.91,0.66,20467336
24,TSLA,20210830,730.91,714.72,731.0,712.73,711.92,2.67,18364981
25,TSLA,20210827,711.92,705.0,715.0,702.1,701.16,1.53,13575129
26,TSLA,20210826,701.16,708.31,715.4,697.62,711.2,-1.41,13099258
27,TSLA,20210825,711.2,707.03,716.97,704.0,708.49,0.38,12472356
28,TSLA,20210824,708.49,710.68,715.22,702.64,706.3,0.31,12788922
29,TSLA,20210823,706.3,685.44,712.13,680.75,680.26,3.83,20089426
30,TSLA,20210820,680.26,682.85,692.13,673.7,673.47,1.01,14741055
31,TSLA,20210819,673.47,678.21,686.55,667.59,688.99,-2.25,14125704
32,TSLA,20210818,688.99,669.75,695.77,669.35,665.71,3.5,20184793
33,TSLA,20210817,665.71,672.66,674.58,648.84,686.17,-2.98,23400606
34,TSLA,20210816,686.17,705.07,709.5,676.4,717.17,-4.32,22658465
35,TSLA,20210813,717.17,723.71,729.9,714.34,722.25,-0.7,16672125
36,TSLA,20210812,722.25,706.34,722.8,699.4,707.82,2.04,17455723
37,TSLA,20210811,707.82,712.71,715.18,704.21,709.99,-0.31,9741660
38,TSLA,20210810,709.99,713.99,716.59,701.88,713.76,-0.53,13252411
39,TSLA,20210809,713.76,710.17,719.03,705.13,699.1,2.1,14561829
40,TSLA,20210806,699.1,711.9,716.33,697.63,714.63,-2.17,15472512
41,TSLA,20210805,714.63,716.0,720.95,711.41,710.92,0.52,12804075
42,TSLA,20210804,710.92,711.0,724.9,708.93,709.74,0.17,16520379
